date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:50	100/100	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20May%202017%2020:59:19%20GMT	https://pics.ebaystatic.com/aw/pics/express/button/btn2Bkgd.jpg	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/express/button/btn2Bkgd.jpg	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:50	189/189	---M--	200	added ('OK')	image/png	date:Tue,%2030%20May%202017%2020:59:27%20GMT	https://pics.ebaystatic.com/aw/pics/globalAssets/imgOverlay2_1x1.png	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/globalAssets/imgOverlay2_1x1.png	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:50	392/392	---M--	200	added ('OK')	image/gif	date:Tue,%2030%20May%202017%2020:59:39%20GMT	https://pics.ebaystatic.com/aw/pics/icon/iconSuccess_16x16.gif	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/icon/iconSuccess_16x16.gif	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:50	243/243	---M--	200	added ('OK')	image/gif	date:Tue,%2030%20May%202017%2020:59:38%20GMT	https://pics.ebaystatic.com/aw/pics/icon/iconMessage_16x16.gif	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/icon/iconMessage_16x16.gif	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:50	1780/1780	---M--	200	added ('OK')	image/png	date:Tue,%2030%20May%202017%2020:58:47%20GMT	https://pics.ebaystatic.com/aw/pics/cmp/btn/sprbtnprimary.png	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/cmp/btn/sprbtnprimary.png	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:51	243/243	---M--	200	added ('OK')	image/gif	date:Tue,%2030%20May%202017%2020:59:38%20GMT	https://pics.ebaystatic.com/aw/pics/icon/iconInfo_16x16.gif	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/icon/iconInfo_16x16.gif	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:51	354/354	---M--	200	added ('OK')	image/gif	date:Tue,%2030%20May%202017%2020:59:38%20GMT	https://pics.ebaystatic.com/aw/pics/icon/iconAlert_16x16.gif	D:/My%20Web%20Sites/ebayCopy/pics.ebaystatic.com/aw/pics/icon/iconAlert_16x16.gif	(from https://ir.ebaystatic.com/include/css/e1071/us/offer/BidHistoryRedesign_SSL_e10711us.css)
22:25:52	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2030%20Jul%202018%2020:25:55%20GMT	https://offer.ebay.com/ws/vjo.Class	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/vjo.28.delayed	(from https://secureir.ebaystatic.com/v4js/z/yy/aaa5p3nkya2onh2wvw0vhpasj.js)
22:25:52	5111/5111	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Oct%202014%2018:09:24%20GMT	https://ir.ebaystatic.com/rs/v/apstidvcvu5pxlbxkphrrdo5iqv.png	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/rs/v/apstidvcvu5pxlbxkphrrdo5iqv.png	(from https://ir.ebaystatic.com/rs/v/vbfgz414rqz5lnmzcfypj25lbyd.css?proc=DU:N)
22:25:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2030%20Jul%202018%2020:25:56%20GMT	https://offer.ebay.com/ws/webtv/	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/webtv/index.html	(from https://secureir.ebaystatic.com/v4js/z/yy/aaa5p3nkya2onh2wvw0vhpasj.js)
22:25:53	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2030%20Jul%202018%2020:25:56%20GMT	https://offer.ebay.com/ws/vjo.dsf.utils.Css	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/vjo.dsf.utils.2a.delayed	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
22:25:53	0/-1	---M--	302	error ('')			https://offer.ebay.com/ws/vjo.dsf.utils.Css	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/vjo.dsf.utils.2b.delayed	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
22:25:53	49/49	---M--	200	added ('OK')	image/gif	etag:%2231-550c4224c68c3%22	https://securepics.ebaystatic.com/aw/pics/s.gif	D:/My%20Web%20Sites/ebayCopy/securepics.ebaystatic.com/aw/pics/s.gif	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
22:25:54	2217/2217	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2006%20Mar%202018%2016:53:40%20GMT	http://ir.ebaystatic.com/f/logwisyb5e5yddn4zmlg5mnhbab.js	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/f/logwisyb5e5yddn4zmlg5mnhbab.js	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
22:25:54	7599/7599	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2029%20Jun%202018%2022:57:26%20GMT	https://ir.ebaystatic.com/rs/v/3t4uoe3epa3mnh3ayt1j1pos2y1.js	D:/My%20Web%20Sites/ebayCopy/ir.ebaystatic.com/rs/v/3t4uoe3epa3mnh3ayt1j1pos2y1.js	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
22:25:55	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2030%20Jul%202018%2020:25:58%20GMT	https://offer.ebay.com/ws/immo.ebay.be/fr/	D:/My%20Web%20Sites/ebayCopy/offer.ebay.com/ws/immo.ebay.be/fr/index.html	(from https://ir.ebaystatic.com/rs/v/mh1aljwhjezwbfvxzgcpofiehuo.js)
